keyword,url,value
个人所得税,http://www.cqsw.gov.cn/cqgszz/bbq/gzdt_872/201507/t20150720_41083.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/bbq/ssnews20/201505/t20150522_36728.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/bbq/ssnews20/201506/t20150604_37988.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/bbq/ssnews20/201506/t20150616_38635.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/bbq/ssnews20/201506/t20150617_38692.html,22.6% 12.1% 9.9% 7.8% 2.5% 
个人所得税,http://www.cqsw.gov.cn/cqgszz/bbq/ssnews20/201507/t20150701_39745.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/bbq/ssnews20/201507/t20150715_40856.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/bbq/ssnews20/201508/t20150819_42958.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/bbq/ssnews20/201508/t20150828_43370.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/bbq/ssnews20/201509/t20150907_43850.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/bbq/ssnews20/201509/t20150916_44287.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/bbq/ssnews20/201509/t20150925_44708.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/bbq/ssnews20/201510/t20151021_45448.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/bbq/ssnews20/201510/t20151023_45646.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/bbq/ssnews20/201511/t20151111_47223.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/bbq/ssnews20/201511/t20151119_48135.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/bbq/ssnews20/201601/t20160120_50686.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/bbq/ssnews20/201703/t20170322_249225.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/bbq/ssnews20/201704/t20170414_249859.html,36.1% 43.5% 
个人所得税,http://www.cqsw.gov.cn/cqgszz/bbq/ssnews20/201707/t20170703_254423.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/bbq/ssnews20/201707/t20170725_255619.html,8.9% 57.6% 57.6% 34.9% 24.9% 15.6% 9.8% 29.6% 25.2% 44.4% 
个人所得税,http://www.cqsw.gov.cn/cqgszz/bbq/ssnews20/201710/t20171009_258284.html,0.1% 42.5% 11.8% 7.4% 61.7% 
个人所得税,http://www.cqsw.gov.cn/cqgszz/bsq/ssnews44/201505/t20150522_36587.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/bsq/ssnews44/201506/t20150605_38004.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/bsq/ssnews44/201506/t20150618_38698.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/bsq/ssnews44/201506/t20150618_38705.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/bsq/ssnews44/201507/t20150720_41082.html,6.8% 7.6% 15.9% 
个人所得税,http://www.cqsw.gov.cn/cqgszz/bsq/ssnews44/201508/t20150810_42418.html,15.6% 10.4% 16.9% 11.4% 23.2% 
个人所得税,http://www.cqsw.gov.cn/cqgszz/bsq/ssnews44/201508/t20150819_42957.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/bsq/ssnews44/201511/t20151111_47219.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/bsq/ssnews44/201511/t20151111_47233.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/bsq/ssnews44/201511/t20151116_47579.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/bsq/ssnews44/201511/t20151116_47587.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/bsq/ssnews44/201512/t20151221_49454.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/bsx/gzdt_944/201505/t20150507_31930.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/bsx/gzdt_944/201505/t20150513_33725.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/bsx/ssnews28/201505/t20150513_33905.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/bsx/ssnews28/201505/t20150521_36408.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/bsx/ssnews28/201505/t20150528_37256.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/bsx/ssnews28/201506/t20150610_38276.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/bsx/ssnews28/201506/t20150618_38738.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/bsx/ssnews28/201506/t20150618_38739.html,22.6% 12.1% 9.9% 7.8% 2.5% 
个人所得税,http://www.cqsw.gov.cn/cqgszz/bsx/ssnews28/201506/t20150618_38742.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/bsx/ssnews28/201507/t20150702_39837.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/bsx/ssnews28/201507/t20150717_41035.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/bsx/ssnews28/201507/t20150723_41366.html,6.8% 7.6% 15.9% 
个人所得税,http://www.cqsw.gov.cn/cqgszz/bsx/ssnews28/201508/t20150812_42542.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/bsx/ssnews28/201508/t20150812_42547.html,15.6% 10.4% 16.9% 11.4% 23.2% 
个人所得税,http://www.cqsw.gov.cn/cqgszz/bsx/ssnews28/201508/t20150824_43165.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/bsx/ssnews28/201509/t20150907_43799.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/bsx/ssnews28/201509/t20150918_44404.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/bsx/ssnews28/201509/t20150925_44695.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/bsx/ssnews28/201610/t20161020_212119.html,78.7% 1.3% 9.91% 
个人所得税,http://www.cqsw.gov.cn/cqgszz/bsx/ssnews28/201610/t20161020_212150.html,5.9% 12.5% 23.8% 2.7% 20.4% 11.4% 24.2% 10.9% 17.6% 21.3% 25.4% 27.2% 11.7% 13.7% 0.4% 8.3% 6.4% 0.6% 10.8% 12.5% 75.2% 5.4% 13.8% 13.3% 14.2% 14.6% 
个人所得税,http://www.cqsw.gov.cn/cqgszz/bsx/ssnews28/201610/t20161021_234629.html,80.1% 
个人所得税,http://www.cqsw.gov.cn/cqgszz/bsx/ssnews28/201610/t20161021_234631.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/bsx/ssnews28/201610/t20161021_234644.html,1.5% 
个人所得税,http://www.cqsw.gov.cn/cqgszz/bsx/ssnews28/201705/t20170506_251069.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/bsx/ssnews28/201705/t20170506_251074.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/bsx/ssnews28/201706/t20170607_252474.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/ckx/ssxwnew/201711/t20171103_260173.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/ddkq/gzdt_962/201508/t20150811_42451.html,1.29% 56.96% 41.05% 0.69% 
个人所得税,http://www.cqsw.gov.cn/cqgszz/ddkq/gzdt_962/201705/t20170506_251070.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/ddkq/ssnews30/201505/t20150525_36865.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/ddkq/ssnews30/201506/t20150611_38291.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/ddkq/ssnews30/201506/t20150617_38668.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/ddkq/ssnews30/201507/t20150701_39733.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/ddkq/ssnews30/201507/t20150716_40894.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/ddkq/ssnews30/201508/t20150810_42353.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/ddkq/ssnews30/201508/t20150818_42915.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/ddkq/ssnews30/201509/t20150908_43857.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/ddkq/ssnews30/201509/t20150918_44376.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/ddkq/ssnews30/201510/t20151028_45885.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/ddkq/ssnews30/201511/t20151118_47935.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/ddkq/ssnews30/201511/t20151119_48099.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/ddkq/ssnews30/201604/t20160406_52855.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/ddkq/ssnews30/201604/t20160406_52857.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/ddkq/ssnews30/201606/t20160615_165131.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/ddkq/ssnews30/201610/t20161020_210502.html,7.1% 84.5% 8.6% 22.5% 12.12% 9.86% 7.82% 4.80% 8.6% 34.4% 15.6% 17.3% 14.8% 13.1% 19.8% 23.9% 17.5% 2.3% 74.8% 70.7% 31.9% 13.2% 40.6% 26.8% 50.6% 23.12% 14.66% 15.6% 7.15% 7.88% 8.92% 7.95% 2.03% 0.94% 
个人所得税,http://www.cqsw.gov.cn/cqgszz/ddkq/ssnews30/201610/t20161020_210581.html,78.7% 1.3% 9.91% 
个人所得税,http://www.cqsw.gov.cn/cqgszz/ddkq/ssnews30/201610/t20161020_210885.html,5.9% 12.5% 23.8% 2.7% 20.4% 11.4% 24.2% 10.9% 17.6% 21.3% 25.4% 27.2% 11.7% 13.7% 0.4% 8.3% 6.4% 0.6% 10.8% 12.5% 75.2% 5.4% 13.8% 13.3% 14.2% 14.6% 
个人所得税,http://www.cqsw.gov.cn/cqgszz/ddkq/ssnews30/201705/t20170506_251087.html,70.5% 31.8% 102.5% 10.5% 90.1% 71.9% 
个人所得税,http://www.cqsw.gov.cn/cqgszz/dzq/ssnews34/201505/t20150526_37144.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/dzq/ssnews34/201507/t20150722_41307.html,6.8% 7.6% 15.9% 
个人所得税,http://www.cqsw.gov.cn/cqgszz/dzq/ssnews34/201701/t20170106_246076.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/dzq/ssnews34/201701/t20170112_246210.html,67.8% 70.8% 22.57% 38.2% 
个人所得税,http://www.cqsw.gov.cn/cqgszz/dzq/ssnews34/201707/t20170714_255071.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/dzq/ssnews34/201707/t20170728_255759.html,8.9% 57.6% 57.6% 34.9% 24.9% 15.6% 9.8% 29.6% 25.2% 44.4% 
个人所得税,http://www.cqsw.gov.cn/cqgszz/dzq/ssnews34/201711/t20171103_260170.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/fdx/ssnews13/201711/t20171102_260083.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/flq/ssnews12/201507/t20150716_40923.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/flq/ssnews12/201508/t20150810_42432.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/flq/ssnews12/201508/t20150810_42435.html,15.6% 10.4% 16.9% 11.4% 23.2% 
个人所得税,http://www.cqsw.gov.cn/cqgszz/flq/ssnews12/201508/t20150828_43325.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/flq/ssnews12/201509/t20150907_43790.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/flq/ssnews12/201509/t20150911_43999.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/flq/ssnews12/201509/t20150916_44291.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/flq/ssnews12/201510/t20151016_45264.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/flq/ssnews12/201510/t20151016_45272.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/flq/ssnews12/201510/t20151026_45751.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/flq/ssnews12/201510/t20151026_45755.html,9.3% 7.7% 7.4% 7.0% 6.9% 
个人所得税,http://www.cqsw.gov.cn/cqgszz/flq/ssnews12/201511/t20151106_46340.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/flq/ssnews12/201511/t20151111_47232.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/flq/ssnews12/201511/t20151118_48027.html,6.7% 7.9% 5.4% 5.1% 5.2% 15.8% 
