keyword,url,value
个人所得税,http://www.cqsw.gov.cn/cqgszz/wzq/gg_745/201702/t20170204_246828.html,22.5% 25.5% 
个人所得税,http://www.cqsw.gov.cn/cqgszz/wzq/gg_745/201601/t20160113_50395.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/wzq/gg_745/201612/t20161207_236423.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/wzq/gg_745/201512/t20151202_48753.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/wzq/gg_745/201703/t20170301_248427.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/wzq/gg_745/201702/t20170213_247664.html,22.5% 25.5% 
个人所得税,http://www.cqsw.gov.cn/cqgszz/wzq/gg_745/201512/t20151202_48759.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/wzq/gg_745/201610/t20161020_210052.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/wzq/gg_745/201701/t20170106_246040.html,22.5% 25.5% 
个人所得税,http://www.cqsw.gov.cn/cqgszz/wzq/ssnews6/201507/t20150701_39716.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/wzq/ssnews6/201506/t20150624_39022.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/wzq/ssnews6/201506/t20150629_39566.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/wzq/ssnews6/201506/t20150624_39013.html,15.5% 
个人所得税,http://www.cqsw.gov.cn/cqgszz/wzq/ssnews6/201510/t20151012_45054.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/wzq/ssnews6/201508/t20150807_42310.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/wzq/ssnews6/201511/t20151124_48363.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/wzq/ssnews6/201511/t20151110_46825.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/wzq/ssnews6/201510/t20151012_45036.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/wzq/ssnews6/201507/t20150721_41185.html,6.8% 7.6% 15.9% 
个人所得税,http://www.cqsw.gov.cn/cqgszz/wzq/ssnews6/201508/t20150825_43198.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/wzq/ssnews6/201509/t20150915_44197.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/wzq/ssnews6/201511/t20151124_48359.html,6.7% 7.9% 5.4% 5.1% 5.2% 15.8% 
个人所得税,http://www.cqsw.gov.cn/cqgszz/wzq/ssnews6/201507/t20150717_40994.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/wzq/ssnews6/201510/t20151012_45060.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/wzq/ssnews6/201508/t20150811_42509.html,15.6% 10.4% 16.9% 11.4% 23.2% 
个人所得税,http://www.cqsw.gov.cn/cqgszz/wzq/ssnews6/201702/t20170204_246823.html,4.5% 30.9% 40.4% 3.1% 17.1% 30.7% 13.3% 17.1% 4.3% 
个人所得税,http://www.cqsw.gov.cn/cqgszz/wzq/ssnews6/201701/t20170106_246032.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/wzq/ssnews6/201702/t20170213_247661.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/wzq/ssnews6/201701/t20170106_246031.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/wzq/ssnews6/201601/t20160113_50416.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/wzq/ssnews6/201702/t20170204_246819.html,33.33% 32.11% 29.97% 29.74% 12.5% 
个人所得税,http://www.cqsw.gov.cn/cqgszz/wzq/ssnews6/201610/t20161021_233182.html,78.7% 1.3% 9.91% 
个人所得税,http://www.cqsw.gov.cn/cqgszz/wzq/ssnews6/201705/t20170506_251191.html,70.5% 71.0% 31.8% 102.5% 10.5% 90.1% 71.9% 
个人所得税,http://www.cqsw.gov.cn/cqgszz/wzq/ssnews6/201705/t20170506_251190.html,70.5% 71.0% 31.8% 102.5% 10.5% 90.1% 71.9% 
个人所得税,http://www.cqsw.gov.cn/cqgszz/wzq/ssnews6/201705/t20170506_251188.html,70.5% 31.8% 102.5% 10.5% 90.1% 71.9% 
个人所得税,http://www.cqsw.gov.cn/cqgszz/wzq/gzdt_746/201706/t20170613_252684.html,
个人所得税,http://www.cqsw.gov.cn/cqgszz/wzq/gzdt_746/201705/t20170506_251174.html,
个人所得税,http://www.cqsw.gov.cn/Xbb_gsgw/Xbb_gzcy/Xbb_gzcyRdwt/Xbb_gzcyClgzs/201608/t20160822_187058.html,
个人所得税,http://www.cqsw.gov.cn/Xbb_gsgw/Xbb_gzcy/Xbb_gzcyRdwt/Xbb_gzxyZzs/201608/t20160822_187525.html,
个人所得税,http://www.cqsw.gov.cn/Xbb_gsgw/Xbb_gzcy/Xbb_gzcyRdwt/Xbb_gzxyZzs/201608/t20160822_187732.html,
个人所得税,http://www.cqsw.gov.cn/Xbb_gsgw/Xbb_gzcy/Xbb_gzcyRdwt/Xbb_gzxyZzs/201608/t20160822_187743.html,
个人所得税,http://www.cqsw.gov.cn/Xbb_gsgw/Xbb_gzcy/Xbb_gzcyRdwt/Xbb_gzxyZzs/201608/t20160822_187755.html,
个人所得税,http://www.cqsw.gov.cn/Xbb_gsgw/Xbb_gzcy/Xbb_gzcyRdwt/Xbb_gzxyZzs/201608/t20160822_187756.html,
个人所得税,http://www.cqsw.gov.cn/Xbb_gsgw/Xbb_gzcy/Xbb_gzcyRdwt/Xbb_gzxyZzs/201608/t20160822_187961.html,
个人所得税,http://www.cqsw.gov.cn/Xbb_gsgw/Xbb_gzcy/Xbb_gzcyRdwt/Xbb_gzxyZzs/201608/t20160822_188007.html,
个人所得税,http://www.cqsw.gov.cn/Xbb_gsgw/Xbb_gzcy/Xbb_gzcyRdwt/Xbb_gzxyZzs/201608/t20160822_188019.html,
个人所得税,http://www.cqsw.gov.cn/Xbb_gsgw/Xbb_gzcy/Xbb_gzcyRdwt/Xbb_gzxyZzs/201608/t20160822_188058.html,
个人所得税,http://www.cqsw.gov.cn/Xbb_gsgw/Xbb_gzcy/Xbb_gzcyRdwt/Xbb_gzxyZzs/201608/t20160822_188121.html,
个人所得税,http://www.cqsw.gov.cn/Xbb_gsgw/Xbb_gzcy/Xbb_gzcyRdwt/Xbb_gzxyZzs/201608/t20160822_188158.html,
个人所得税,http://www.cqsw.gov.cn/Xbb_gsgw/Xbb_gzcy/Xbb_gzcyRdwt/Xbb_gzxyZzs/201608/t20160822_188187.html,
个人所得税,http://www.cqsw.gov.cn/Xbb_gsgw/Xbb_gzcy/Xbb_gzcyRdwt/Xbb_gzxyZzs/201608/t20160822_188175.html,
个人所得税,http://www.cqsw.gov.cn/Xbb_gsgw/Xbb_gzcy/Xbb_gzcyRdwt/Xbb_gzxyZzs/201608/t20160822_188189.html,
个人所得税,http://www.cqsw.gov.cn/Xbb_gsgw/Xbb_gzcy/Xbb_gzcyRdwt/Xbb_gzxyZzs/201608/t20160822_188177.html,
个人所得税,http://www.cqsw.gov.cn/Xbb_gsgw/Xbb_gzcy/Xbb_gzcyRdwt/Xbb_gzxyZzs/201608/t20160822_188179.html,
个人所得税,http://www.cqsw.gov.cn/Xbb_gsgw/Xbb_gzcy/Xbb_gzcyRdwt/Xbb_gzxyZzs/201608/t20160822_188196.html,0.4% 
个人所得税,http://www.cqsw.gov.cn/Xbb_gsgw/Xbb_gzcy/Xbb_gzcyRdwt/Xbb_gzxyZzs/201608/t20160822_188220.html,
个人所得税,http://www.cqsw.gov.cn/Xbb_gsgw/Xbb_gzcy/Xbb_gzcyRdwt/Xbb_gzxyZzs/201608/t20160822_188225.html,
个人所得税,http://www.cqsw.gov.cn/Xbb_gsgw/Xbb_gzcy/Xbb_gzcyRdwt/Xbb_gzxyZzs/201608/t20160822_188259.html,41.75% 
个人所得税,http://www.cqsw.gov.cn/Xbb_gsgw/Xbb_gzcy/Xbb_gzcyRdwt/Xbb_gzxyZzs/201608/t20160822_188285.html,24.12% 24.77% 19.71% 
个人所得税,http://www.cqsw.gov.cn/Xbb_gsgw/Xbb_gzcy/Xbb_gzcyRdwt/Xbb_gzxyZzs/201608/t20160822_188297.html,
个人所得税,http://www.cqsw.gov.cn/Xbb_gsgw/Xbb_gzcy/Xbb_gzcyRdwt/Xbb_gzxyZzs/201608/t20160822_188309.html,
个人所得税,http://www.cqsw.gov.cn/Xbb_gsgw/Xbb_gzcy/Xbb_gzcyRdwt/Xbb_gzxyZzs/201608/t20160822_188324.html,
个人所得税,http://www.cqsw.gov.cn/Xbb_gsgw/Xbb_gzcy/Xbb_gzcyRdwt/Xbb_gzxyZzs/201701/t20170103_245874.html,
个人所得税,http://www.cqsw.gov.cn/Xbb_gsgw/Xbb_gzcy/Xbb_gzcyRdwt/Xbb_gzxyZzs/201701/t20170105_245974.html,
个人所得税,http://www.cqsw.gov.cn/Xbb_gsgw/Xbb_gzcy/Xbb_gzcyRdwt/Xbb_gzxyZzs/201701/t20170104_245947.html,
个人所得税,http://www.cqsw.gov.cn/Xbb_gsgw/Xbb_gzcy/Xbb_gzcyRdwt/Xbb_gzxyZzs/201701/t20170106_246009.html,
个人所得税,http://www.cqsw.gov.cn/Xbb_gsgw/Xbb_gzcy/Xbb_gzcyRdwt/Xbb_gzxyZzs/201701/t20170116_246368.html,
个人所得税,http://www.cqsw.gov.cn/Xbb_gsgw/Xbb_gzcy/Xbb_gzcyRdwt/Xbb_gzxyZzs/201701/t20170118_246451.html,
个人所得税,http://www.cqsw.gov.cn/Xbb_gsgw/Xbb_gzcy/Xbb_gzcyRdwt/Xbb_gzxyZzs/201701/t20170118_246452.html,
个人所得税,http://www.cqsw.gov.cn/Xbb_gsgw/Xbb_gzcy/Xbb_gzcyRdwt/Xbb_gzxyZzs/201702/t20170207_246915.html,3.3% 3.3% 3.3% 3.3% 1.5% 3.3% 1.5% 
个人所得税,http://www.cqsw.gov.cn/Xbb_gsgw/Xbb_gzcy/Xbb_gzcyRdwt/Xbb_gzxyZzs/201702/t20170206_246875.html,
个人所得税,http://www.cqsw.gov.cn/Xbb_gsgw/Xbb_gzcy/Xbb_gzcyRdwt/Xbb_gzxyZzs/201702/t20170215_247809.html,
个人所得税,http://www.cqsw.gov.cn/Xbb_gsgw/Xbb_gzcy/Xbb_gzcyRdwt/Xbb_gzxyZzs/201703/t20170306_248604.html,
个人所得税,http://www.cqsw.gov.cn/Xbb_gsgw/Xbb_gzcy/Xbb_gzcyRdwt/Xbb_gzxyZzs/201703/t20170316_249017.html,
个人所得税,http://www.cqsw.gov.cn/Xbb_gsgw/Xbb_gzcy/Xbb_gzcyRdwt/Xbb_gzxyZzs/201703/t20170316_249018.html,
个人所得税,http://www.cqsw.gov.cn/Xbb_gsgw/Xbb_gzcy/Xbb_gzcyRdwt/Xbb_gzxyZzs/201703/t20170315_248929.html,
个人所得税,http://www.cqsw.gov.cn/Xbb_gsgw/Xbb_gzcy/Xbb_gzcyRdwt/Xbb_gzxyZzs/201703/t20170322_249194.html,
个人所得税,http://www.cqsw.gov.cn/Xbb_gsgw/Xbb_gzcy/Xbb_gzcyRdwt/Xbb_gzxyZzs/201703/t20170323_249254.html,
个人所得税,http://www.cqsw.gov.cn/Xbb_gsgw/Xbb_gzcy/Xbb_gzcyRdwt/Xbb_gzxyZzs/201703/t20170322_249195.html,
个人所得税,http://www.cqsw.gov.cn/Xbb_gsgw/Xbb_gzcy/Xbb_gzcyRdwt/Xbb_gzxyZzs/201703/t20170324_249311.html,
个人所得税,http://www.cqsw.gov.cn/Xbb_gsgw/Xbb_gzcy/Xbb_gzcyRdwt/Xbb_gzxyZzs/201703/t20170324_249310.html,
